UserId,TitleId,Review
1000,1,2
1000,8,4
1000,24,2
1000,25,2
1000,39,4
1000,41,3
1000,54,3
1000,66,3
1000,69,4
1000,69,3
1000,72,1
1000,76,4
1000,79,3
1000,85,4
1000,97,3
1000,102,3
1000,104,2
1000,114,3
1000,127,4
1000,128,3
1000,132,4
1000,135,2
1000,138,4
1000,140,4
1000,142,3
1000,143,4
1000,145,3
1000,148,3
1000,154,3
1000,155,3
1000,175,3
1000,175,3
1000,188,3
1000,192,3
1000,194,3
1000,194,3
1000,195,3
1000,200,3
1000,206,3
1000,211,3
1000,219,1
1000,231,4
1000,242,1
1000,243,3
1000,244,3
1000,247,4
1000,251,3
1000,255,2
1000,255,3
1000,257,3
1000,259,4
1000,261,3
1000,264,3
1000,265,3
1000,268,3
1000,271,3
1000,288,3
1001,39,4
1001,61,4
1001,92,3
1001,98,3
1001,121,3
1001,123,4
1001,135,2
1001,139,3
1001,144,3
1001,166,1
1001,173,3
1001,184,3
1001,189,3
1001,201,4
1001,206,3
1001,211,2
1001,212,2
1001,230,3
1001,242,3
1001,247,4
1001,249,3
1001,257,3
1001,268,3
1001,270,3
1001,271,3
1001,291,3
1002,0,3
1002,7,3
1002,9,3
1002,16,4
1002,25,2
1002,26,3
1002,28,4
1002,28,4
1002,39,4
1002,40,3
1002,44,3
1002,45,3
1002,51,3
1002,58,3
1002,61,4
1002,68,3
1002,72,3
1002,82,1
1002,84,3
1002,85,3
1002,86,3
1002,89,3
1002,96,3
1002,102,3
1002,104,4
1002,118,3
1002,122,3
1002,124,4
1002,126,3
1002,135,3
1002,135,2
1002,139,1
1002,141,2
1002,148,3
1002,165,3
1002,172,3
1002,181,4
1002,182,3
1002,182,2
1002,187,3
1002,200,3
1002,202,3
1002,202,4
1002,203,4
1002,206,3
1002,220,4
1002,222,3
1002,225,4
1002,237,4
1002,248,2
1002,249,3
1002,267,3
1002,274,3
1002,280,4
1002,284,5
1002,291,4
1002,291,5
1003,7,3
1003,8,3
1003,19,3
1003,25,2
1003,44,3
1003,66,3
1003,74,3
1003,76,4
1003,77,4
1003,87,3
1003,103,3
1003,114,3
1003,121,4
1003,155,3
1003,166,3
1003,170,4
1003,171,2
1003,181,4
1003,182,2
1003,185,3
1003,189,3
1003,206,3
1003,207,3
1003,216,3
1003,219,2
1003,252,2
1003,255,3
1003,268,3
1003,271,3
1003,278,3
1003,287,4
1003,291,4
1003,291,3
1004,0,3
1004,3,4
1004,5,4
1004,13,5
1004,19,3
1004,21,4
1004,26,3
1004,40,3
1004,56,3
1004,62,4
1004,63,3
1004,67,1
1004,70,3
1004,72,3
1004,74,3
1004,77,4
1004,85,3
1004,86,3
1004,89,4
1004,90,3
1004,92,3
1004,117,3
1004,127,3
1004,131,3
1004,132,3
1004,140,3
1004,144,3
1004,150,3
1004,154,3
1004,155,3
1004,155,4
1004,164,4
1004,167,3
1004,171,3
1004,173,3
1004,177,3
1004,180,4
1004,181,4
1004,182,3
1004,206,3
1004,207,2
1004,209,3
1004,222,3
1004,238,3
1004,242,3
1004,257,3
1004,260,4
1004,270,3
1004,271,3
1005,3,3
1005,8,2
1005,12,3
1005,15,3
1005,25,4
1005,27,2
1005,44,3
1005,51,3
1005,58,5
1005,58,2
1005,78,3
1005,88,3
1005,90,3
1005,91,3
1005,99,2
1005,107,3
1005,112,4
1005,114,3
1005,123,4
